"Country","Y1980","Y1981","Y1982","Y1983"
"Afghanistan",21.48678,21.46552,21.45145,21.43822
"Albania",25.22533,25.23981,25.25636,25.27176
"Algeria",22.25703,22.34745,22.43647,22.52105
