,price,Stan nieruchomości,Pow. całkowita,Piętro,Liczba pięter,Typ kuchni,łazienka razem z WC,Taras,Rynek,Dostępne od,Kredyt,Typ budynku,Materiał budowlany,Rok budowy,Data dodania,Aktualizacja,Numer ogłoszenia,title,url,Liczba poziomów mieszkania,Liczba sypialni,Balkon,Rodzaj umowy,Ogrzewanie,Wysokość wnętrza,Liczba łazienek,Forma własności,Stan budynku,Pow. balkonu,Cena do negocjacji,Pow. łazienki,Pow. ogródka,Pow. tarasu,Stolarka okienna,Dodatkowe koszty,Pow. loggii,Inwestycja,Kominek,Zapotrzebowanie energetyczne,Pow. użytkowa,Typ nieruchomości,Typ domu,Dach,Urządzony ogród
19,650 000 zł,,"58,45 m²",1/4,4,,Tak,Nie,Wtórny,2023-03-08,,Blok,Wielka płyta,1992,06.04.2023,09.05.2023,morizon-2-4,"Mieszkanie na sprzedaż, 58 m², Warszawa Praga-Południe Gocław | 3418 | Morizon.pl",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-praga-poludnie-gen-leopolda-okulickiego-58m2-mzn2041893418,1,,Tak,Na wyłączność,Miejskie,250 cm,1,Własność,Bardzo dobry,"6,90 m²",Tak,"6,20 m²",,,,,"6,90 m²",,,,,,,,
20,636 823 zł,,"52,63 m²",4/4,4,,,,Pierwotny,,,,,2023,04.03.2022,12.04.2023,morizon-26,"Mieszkanie na sprzedaż, 52 m², Warszawa Bielany | 2352 | Morizon.pl",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-bielany-boguslawskiego-52m2-mzn2039042352,,,Tak,,,,,,,"3,31 m²",,,,,,,,Bogusławskiego,,,,,,,
21,631 560 zł,,"52,63 m²",3/4,4,,,,Pierwotny,,,,,2023,04.03.2022,12.04.2023,morizon-19,"Mieszkanie na sprzedaż, 52 m², Warszawa Bielany | 2350 | Morizon.pl",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-bielany-boguslawskiego-52m2-mzn2039042350,,,Tak,,,,,,,"3,31 m²",,,,,,,,Bogusławskiego,,,,,,,
22,626 297 zł,,"52,63 m²",2/4,4,,,,Pierwotny,,,,,2023,04.03.2022,12.04.2023,morizon-12,"Mieszkanie na sprzedaż, 52 m², Warszawa Bielany | 2347 | Morizon.pl",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-bielany-boguslawskiego-52m2-mzn2039042347,,,Tak,,,,,,,"3,31 m²",,,,,,,,Bogusławskiego,,,,,,,
23,540 000 zł,WYSOKI STANDARD,"35,75 m²",Parter/3,3,OTWARTA,,,Wtórny,,,NISKI BLOK,CEGŁA,2005,06.05.2023,15.05.2023,morizon-20916/317/OMS,"Mieszkanie na sprzedaż, 35 m², Warszawa Ursynów Kabaty | 4974 | Morizon.pl",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-ursynow-wawozowa-35m2-mzn2042054974,,,,,C.O. Z SIECI MIEJSKIEJ,265 cm,1,SPÓŁDZIELCZE WŁASNOŚCIOWE,,,,,,,,,,,,,,,,,
24,519 000 zł,,"42,16 m²",1/5,5,,,,Wtórny,2023-06-30,,Kamienica,Cegła,1939,24.04.2023,09.05.2023,morizon-A-D964515,"Mieszkanie na sprzedaż, 42 m², Warszawa Praga-Północ | 9368 | Morizon.pl",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-praga-polnoc-11-listopada-42m2-mzn2041989368,,,Tak,,Co Miejskie,,,,,,,,,,,,,,,,,,,,
25,490 000 zł,,"33,71 m²",Parter/11,11,Aneks,,Nie,Wtórny,2023-05-01,,Blok,Wielka płyta,1971,27.04.2023,27.04.2023,morizon-4,"Mieszkanie na sprzedaż, 33 m², Warszawa Wola | 7631 | Morizon.pl",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-wola-okopowa-33m2-mzn2041997631,,,Tak,Na wyłączność,Miejskie,246 cm,1,Własność,Dobry,"0,25 m²",Tak,,,,,,,,,,,,,,
26,3 450 000 zł,DO ODŚWIEŻENIA,123 m²,2/5,5,Z OKNEM,,,Wtórny,,,KAMIENICA,CEGŁA,1935,22.03.2023,04.05.2023,morizon-16949/2113/OMS,"Mieszkanie na sprzedaż, 123 m², Warszawa Śródmieście | 9497 | Morizon.pl",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-srodmiescie-krakowskie-przedmiescie-123m2-mzn2041819497,,,,Na wyłączność,C.O. Z SIECI MIEJSKIEJ,300 cm,2,WŁASNOŚĆ,,,,,,,,,,,,,,,,,
27,1 875 000 zł,BARDZO WYSOKI STANDARD,"82,65 m²",6/10,10,ANEKS KUCHENNY,,,Wtórny,,,APARTAMENTOWIEC,,2022,23.03.2023,04.05.2023,morizon-857/4917/OMS,"Mieszkanie na sprzedaż, 82 m², Warszawa Mokotów Sadyba | 0982 | Morizon.pl",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-mokotow-naleczowska-82m2-mzn2041820982,,,Tak,,C.O. Z SIECI MIEJSKIEJ,,1,,,,,,,,,,,,,,,,,,
28,1 100 000 zł,DOBRY,63 m²,2/5,5,ODDZIELNA,,,Wtórny,,,KAMIENICA,CEGŁA,1950,11.04.2023,04.05.2023,morizon-16952/2113/OMS,"Mieszkanie na sprzedaż, 63 m², Warszawa Śródmieście Śródmieście Południowe | 1740 | Morizon.pl",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-srodmiescie-aleje-jerozolimskie-63m2-mzn2041921740,,,Tak,,C.O. Z SIECI MIEJSKIEJ,300 cm,2,WŁASNOŚĆ,,,,,,,,,,,,,,,,,
29,950 000 zł,Bardzo dobry,"81,60 m²",Parter/4,4,Jasna z oknem,,,Wtórny,,,Blok,Mieszana,1987,31.03.2023,12.05.2023,morizon-WLI-MS-845,"Mieszkanie na sprzedaż, 81 m², Warszawa Mokotów | 4556 | Morizon.pl",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-mokotow-idzikowskiego-81m2-mzn2041864556,,2,Tak,Na wyłączność,C.O. Z SIECI MIEJSKIEJ,245 cm,1,Spółdzielcze własnościowe,,"5,12 m²",,"3,73 m²",,,PCV,"1476,2700",,,,,,,,,
30,599 500 zł,Po odświeżeniu,51 m²,8/16,16,Aneks,Tak,,Wtórny,,,Blok,Wielka płyta,1984,01.04.2023,15.05.2023,morizon-330,"Mieszkanie na sprzedaż, 51 m², Warszawa Praga-Południe | 8780 | Morizon.pl",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-praga-poludnie-iganska-51m2-mzn2041868780,,2,Tak,Na wyłączność,Miejskie,250 cm,,Spółdzielcze własnościowe,,,,,,,PCV,,,,,,,,,,
31,595 000 zł,,"60,56 m²",3/3,3,Aneks,Tak,Tak,Wtórny,2023-05-09,,Apartamentowiec,Cegła,2001,09.05.2023,12.05.2023,morizon-55,"Mieszkanie na sprzedaż, 60 m², Warszawa Białołęka Tarchomin | 9472 | Morizon.pl",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-bialoleka-poetow-60m2-mzn2042059472,1,,Nie,Na wyłączność,Miejskie,270 cm,1,Własność,Bardzo dobry,,,7 m²,,13 m²,,,,,,,,,,,
32,585 000 zł,Do odświeżenia,41 m²,3/10,10,Widna,Tak,,Wtórny,,,Blok,Rama h,1968,04.05.2023,11.05.2023,morizon-138371,"Mieszkanie na sprzedaż, 41 m², Warszawa Mokotów Stary Mokotów | 3762 | Morizon.pl",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-mokotow-dabrowskiego-jaroslawa-41m2-mzn2041033762,,1,Tak,,Miejskie,258 cm,,Spółdzielcze,,,,,,,PCV,,3 m²,,Tak,,,,,,
33,530 000 zł,Do odświeżenia,38 m²,Parter/4,4,Oddzielna,,Nie,Wtórny,,,Niski blok,,1967,31.03.2023,15.05.2023,morizon-58883/MS/MAX,"Mieszkanie na sprzedaż, 38 m², Warszawa Wola | 1936 | Morizon.pl",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-wola-gorczewska-38m2-mzn2041861936,,,Tak,Na wyłączność,CO miejskie,,1,,Dobry,,,,,,,,,,,,,,,,
34,4 750 800 zł,,"158,36 m²",5/7,7,,,,Wtórny,,,Kamienica,,1913,19.04.2023,14.05.2023,morizon-266427,"Mieszkanie na sprzedaż, 158 m², Warszawa Śródmieście | 8296 | Morizon.pl",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-srodmiescie-stanislawa-noakowskiego-158m2-mzn2041958296,1,,Tak,,Co Miejskie,,,,,,,,,,,,,,,,,,,,
35,1 295 000 zł,DOBRY,"74,20 m²",6/10,10,ODDZIELNA,,,Wtórny,,,APARTAMENTOWIEC,CEGŁA,2009,06.04.2023,15.05.2023,morizon-31075/2133/OMS,"Mieszkanie na sprzedaż, 74 m², Warszawa Mokotów Służew | 4794 | Morizon.pl",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-mokotow-jana-sebastiana-bacha-74m2-mzn2041894794,,,Tak,,C.O. Z SIECI MIEJSKIEJ,,1,,,,,,,,,,,,,,,,,,
36,1 222 000 zł,,"70,90 m²",,,,,,Wtórny,,,Blok,,,28.04.2023,11.05.2023,morizon-843,"Mieszkanie na sprzedaż, 70 m², Warszawa Ochota | 9828 | Morizon.pl",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-ochota-harfowa-70m2-mzn2041999828,,,Tak,,,,,,,"4,80 m²",,,,,,,,,,,,,,,
37,1 132 500 zł,WYSOKI STANDARD,75 m²,5/5,5,OTWARTA,,,Wtórny,,,KAMIENICA,CEGŁA,1928,30.03.2023,27.04.2023,morizon-2567/3767/OMS,"Mieszkanie na sprzedaż, 75 m², Warszawa Praga-Północ | 0600 | Morizon.pl",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-praga-polnoc-targowa-75m2-mzn2041860600,,,,Na wyłączność,C.O. Z SIECI MIEJSKIEJ,270 cm,1,WŁASNOŚĆ,,,,,,,,,,,,,,,,,
38,999 000 zł,,80 m²,4/6,6,OTWARTA,,,Wtórny,,,APARTAMENTOWIEC,,2009,13.04.2023,11.05.2023,morizon-823/2072/OMS,"Mieszkanie na sprzedaż, 80 m², Warszawa Praga-Południe Grochów | 6161 | Morizon.pl",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-praga-poludnie-wiatraczna-80m2-mzn2041926161,,,Tak,,C.O. Z SIECI MIEJSKIEJ,,1,WŁASNOŚĆ,,,,,,,,,,,,,,,,,
39,685 000 zł,BARDZO WYSOKI STANDARD,58 m²,1/3,3,ANEKS KUCHENNY,,,Wtórny,,,NISKI BLOK,,1962,24.04.2023,15.05.2023,morizon-48527/6624/OMS,"Mieszkanie na sprzedaż, 58 m², Warszawa Targówek Bródno | 0023 | Morizon.pl",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-targowek-torunska-58m2-mzn2041980023,,,Tak,,C.O. Z SIECI MIEJSKIEJ,250 cm,1,SPÓŁDZIELCZE WŁASNOŚCIOWE Z KW,,,,,,,,,,,,,,,,,
40,600 000 zł,WYSOKI STANDARD,"52,20 m²",1/3,3,OTWARTA,,,Wtórny,,,NISKI BLOK,CEGŁA,2000,21.04.2023,14.05.2023,morizon-2756/1405/OMS,"Mieszkanie na sprzedaż, 52 m², Warszawa Włochy | 2205 | Morizon.pl",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-wlochy-zapustna-52m2-mzn2041962205,,,Tak,,,265 cm,1,,,,,,,,,,,,,,,,,,
41,570 000 zł,,"56,70 m²",3/4,4,ODDZIELNA,,,Wtórny,,,NISKI BLOK,,1974,21.04.2023,14.05.2023,morizon-2757/1405/OMS,"Mieszkanie na sprzedaż, 56 m², Warszawa Mokotów | 2206 | Morizon.pl",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-mokotow-urle-56m2-mzn2041962206,,,Tak,,C.O. Z SIECI MIEJSKIEJ,,1,SPÓŁDZIELCZE WŁASNOŚCIOWE,,,,,,,,,,,,,,,,,
42,569 000 zł,,"51,50 m²",7/10,10,,,,Wtórny,,,Blok Mieszkalny,Wielka płyta,1974,20.04.2023,09.05.2023,morizon-667389,"Mieszkanie na sprzedaż, 51 m², Warszawa Wola | 0825 | Morizon.pl",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-wola-tadeusza-krepowieckiego-51m2-mzn2041960825,,,Tak,,Co Miejskie,,,,,,,,,,,,,,,,,,,,
43,540 000 zł,,"39,17 m²",1/3,3,Widna,Tak,,Wtórny,,,Blok,Zróżnicowany,1968,13.04.2023,10.05.2023,morizon-DAS-MS-2159,"Mieszkanie na sprzedaż, 39 m², Warszawa Praga-Południe Saska Kępa | 7684 | Morizon.pl",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-praga-poludnie-saska-39m2-mzn2041927684,1,,,Na wyłączność,Miejskie,250 cm,1,Własność,Bardzo dobry,,,"2,70 m²",,,PCV,580,,,,,,,,,
44,3 200 000 zł,,"129,20 m²",1/9,9,,,,Wtórny,2023-08-01,,Blok Mieszkalny,YTong,2008,19.04.2023,27.04.2023,morizon-EC502747,"Mieszkanie na sprzedaż, 129 m², Warszawa Mokotów | 9141 | Morizon.pl",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-mokotow-giordana-bruna-129m2-mzn2041959141,1,,Tak,,Co Miejskie,,,,,,,,,,,,,,,,,,,,
45,1 700 000 zł,Bardzo dobry,"90,47 m²",2/4,4,Aneks kuchenny - połączony z salonem,Tak,,Wtórny,,,Apartamentowiec,Beton komórkowy,2008,05.05.2023,09.05.2023,morizon-MAR-MS-35843,"Mieszkanie na sprzedaż, 90 m², Warszawa Wilanów | 5533 | Morizon.pl",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-wilanow-sarmacka-90m2-mzn2041035533,,2,Tak,,Miejskie,,2,,,,,,,,Drewniane,1100,,,,,,,,,
46,1 088 000 zł,Bardzo dobry,75 m²,7/10,10,Aneks,Tak,,Wtórny,,,Apartamentowiec,Cegła,2012,11.04.2023,15.05.2023,morizon-332,"Mieszkanie na sprzedaż, 75 m², Warszawa Mokotów Służew | 1007 | Morizon.pl",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-mokotow-wyscigowa-75m2-mzn2041921007,,2,Tak,Na wyłączność,Miejskie,270 cm,,Własność,,,,,,,Drewniane nowe,,,,,,,,,,
47,795 000 zł,WYSOKI STANDARD,"52,30 m²",2/6,6,ANEKS KUCHENNY,,,Wtórny,,,APARTAMENTOWIEC,CEGŁA,2017,14.04.2023,15.05.2023,morizon-619/7447/OMS,"Mieszkanie na sprzedaż, 52 m², Warszawa Bielany Chomiczówka | 9240 | Morizon.pl",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-bielany-maszewska-52m2-mzn2041929240,,,Tak,Na wyłączność,C.O. Z SIECI MIEJSKIEJ,280 cm,1,WŁASNOŚĆ,,,,,,,,,,,,,,,,,
48,365 000 zł,Dobry,20 m²,2/4,4,Aneks kuchenny,Tak,,Wtórny,,,Blok,Cegła,1960,28.04.2023,06.05.2023,morizon-BAO-MS-314,"Mieszkanie na sprzedaż, 20 m², Warszawa Wola | 0448 | Morizon.pl",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-wola-erazma-ciolka-20m2-mzn2041990448,,,Tak,Na wyłączność,,,1,Odrębna własność lokalu,,,,,,,PCV,430,,,,,,,,,
49,545 000 zł,,"36,30 m²",2/12,12,Osobna,Tak,,Wtórny,2023-03-19,,Blok Mieszkalny,Wielka płyta,1970,28.03.2023,03.05.2023,morizon-188596,"Mieszkanie na sprzedaż, 36 m², Warszawa Mokotów Wierzbno | 6371 | Morizon.pl",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-mokotow-wojciecha-zywnego-36m2-mzn2041856371,1,,Tak,Na wyłączność,Co Miejskie,,,Własność,Bardzo dobry,,,,,,,,,,,,,,,,
50,519 000 zł,,"50,71 m²",2/3,3,,Tak,Nie,Wtórny,2023-03-08,,Blok,Beton,1980,24.03.2023,12.05.2023,morizon-13-1,"Mieszkanie na sprzedaż, 50 m², Warszawa Bemowo Bemowo Lotnisko | 4580 | Morizon.pl",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-bemowo-kedzierskiego-50m2-mzn2041824580,,,Nie,Na wyłączność,Miejskie,250 cm,1,Spółdzielcze-własnościowe,Bardzo dobry,,,"2,91 m²",,,,,"3,80 m²",,,,,,,,
51,623 900 zł,Do remontu,"48,37 m²",2/11,11,Kuchnia zamykana z oknem,,,Wtórny,,,Blok mieszkalny,Wielka płyta,1966,10.01.2023,15.05.2023,morizon-WAHA150,"Mieszkanie na sprzedaż, 48 m², Warszawa Wola | 1388 | Morizon.pl",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-wola-platynowa-48m2-mzn2041471388,,,Tak,Na wyłączność,Ogrzewanie miejskie,245 cm,,Spółdzielcza własnościowa z KW,,,,,,,,,,,,,,,,,
52,559 000 zł,DO REMONTU,48 m²,1/12,12,ODDZIELNA,,,Wtórny,,,BLOK,WIELKA PŁYTA,1976,04.05.2023,15.05.2023,morizon-20960/1708/OMS,"Mieszkanie na sprzedaż, 48 m², Warszawa Mokotów Stegny | 2481 | Morizon.pl",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-mokotow-nicejska-48m2-mzn2041032481,,,,Na wyłączność,C.O. Z SIECI MIEJSKIEJ,260 cm,1,SPÓŁDZIELCZE WŁASNOŚCIOWE Z KW,,,,,,,,,,,,,,,,,
