,price,Stan nieruchomości,Pow. całkowita,Piętro,Liczba pięter,Typ kuchni,łazienka razem z WC,Taras,Rynek,Dostępne od,Kredyt,Typ budynku,Materiał budowlany,Rok budowy,Data dodania,Aktualizacja,Numer ogłoszenia,title,url,Liczba poziomów mieszkania,Liczba sypialni,Balkon,Rodzaj umowy,Ogrzewanie,Wysokość wnętrza,Liczba łazienek,Forma własności,Stan budynku,Pow. balkonu,Cena do negocjacji,Pow. łazienki,Pow. ogródka,Pow. tarasu,Stolarka okienna,Dodatkowe koszty,Pow. loggii,Inwestycja,Kominek,Zapotrzebowanie energetyczne,Pow. użytkowa,Typ nieruchomości,Typ domu,Dach,Urządzony ogród
0,4 530 240 zł,Wysoki standard,"137,28 m²",5/5,5,Osobna,Tak,Tak,Wtórny,2022-03-22,,Kamienica,Cegła,2020,22.03.2022,13.05.2023,morizon-gratka-25422147,"Mieszkanie na sprzedaż, 137 m², Warszawa Śródmieście | 6478 | Morizon.pl",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-srodmiescie-foksal-137m2-mzn2040136478,,,,,,,,,,,,,,,,,,,,,,,,,
1,1 247 000 zł,,74 m²,1/3,3,,,,Wtórny,2023-05-01,,Apartamentowiec,Inne,2022,13.02.2023,15.05.2023,morizon-DBI325336,"Mieszkanie na sprzedaż, 74 m², Warszawa Mokotów | 2978 | Morizon.pl",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-mokotow-santocka-74m2-mzn2041642978,1,2,Tak,Na wyłączność,Co Miejskie,,,,,,,,,,,,,,,,,,,,
2,530 000 zł,DOBRY,"38,50 m²",Parter/3,3,ODDZIELNA,,,Wtórny,,,NISKI BLOK,CEGŁA,1965,14.12.2022,15.05.2023,morizon-476/9046/OMS,"Mieszkanie na sprzedaż, 38 m², Warszawa Wola | 1012 | Morizon.pl",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-wola-grabowska-38m2-mzn2041391012,,,,Na wyłączność,,270 cm,1,WŁASNOŚĆ,,,,,,,,,,,,,,,,,
3,599 000 zł,,"39,80 m²",2/3,3,Osobna,Tak,,Wtórny,2023-04-30,,Blok,Cegła,1964,07.04.2023,08.05.2023,morizon-gratka-30095479,"Mieszkanie na sprzedaż, 39 m², Warszawa Ochota | 6744 | Morizon.pl",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-ochota-zwirki-i-wigury-39m2-mzn2041896744,,,Tak,,,,,Spoldzielcze-wlasnosciowe,,,,,,,,,,,,,,,,,
4,465 000 zł,Dobry,50 m²,Parter/3,3,Aneks,,Nie,Wtórny,,,Blok,,2000,20.07.2022,12.05.2023,morizon-57774/MS/MAX,"Mieszkanie na sprzedaż, 50 m², Warszawa Ursynów | 1198 | Morizon.pl",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-ursynow-bronislawa-pietraszewicza-lota-50m2-mzn2040751198,,,Nie,Na wyłączność,CO miejskie,260 cm,1,,Dobry,,,,,,,,,,,,,,,,
5,779 000 zł,,"69,90 m²",1/1,1,,,Tak,Wtórny,2023-03-17,,,,2004,18.03.2023,15.05.2023,morizon-JH340363181,"Mieszkanie na sprzedaż, 69 m², Warszawa Wawer | 0378 | Morizon.pl",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-wawer-trakt-lubelski-69m2-mzn2041780378,1,2,Tak,Na wyłączność,,,,,,,,,,,,,,,,,,,,,
6,935 000 zł,DO REMONTU KAPIT.,72 m²,1/10,10,ODDZIELNA,,,Wtórny,,,WIEŻOWIEC,MIESZANY,1975,07.04.2023,09.05.2023,morizon-283109/3376/OMS,"Mieszkanie na sprzedaż, 72 m², Warszawa Mokotów Stary Mokotów | 5654 | Morizon.pl",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-mokotow-melsztynska-72m2-mzn2041895654,,,Tak,,C.O. Z SIECI MIEJSKIEJ,250 cm,1,WŁASNOŚĆ,,,,,,,,,,,,,,,,,
7,799 000 zł,Dobry,48 m²,6/11,11,Oddzielna,,Nie,Wtórny,,,Blok,,1971,20.03.2023,12.05.2023,morizon-58918/MS/MAX,"Mieszkanie na sprzedaż, 48 m², Warszawa Śródmieście | 3293 | Morizon.pl",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-srodmiescie-prosta-48m2-mzn2041813293,,,Tak,,CO miejskie,250 cm,1,,Dobry,,,,,,,,,,,,,,,,
8,1 450 000 zł,,"91,61 m²",2/8,8,,,,Wtórny,,,,,2012,09.05.2023,10.05.2023,morizon-607838,"Mieszkanie na sprzedaż, 91 m², Warszawa Mokotów Służewiec | 8609 | Morizon.pl",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-mokotow-granitowa-91m2-mzn2042058609,,3,Tak,Na wyłączność,,,,,,,,,,,,,,,,,,,,,
9,1 047 000 zł,,"63,50 m²",1/4,4,,,,Wtórny,2023-04-27,,Apartamentowiec,,,27.04.2023,27.04.2023,morizon-WE523204,"Mieszkanie na sprzedaż, 63 m², Warszawa Ursynów | 7904 | Morizon.pl",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-ursynow-polki-63m2-mzn2041997904,,,Tak,,,,,,,,,,,,,,,,,,,,,,
10,780 000 zł,,54 m²,11/11,11,Osobna,Nie,,Wtórny,2023-07-31,,Blok,Rama H,1968,02.05.2023,11.05.2023,morizon-550,"Mieszkanie na sprzedaż, 54 m², Warszawa Śródmieście | 0085 | Morizon.pl",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-srodmiescie-sienna-54m2-mzn2041020085,,,Tak,,Miejskie,250 cm,1,Spółdzielcze-własnościowe,Bardzo dobry,4 m²,,,,,,,,,,,,,,,
11,725 000 zł,,68 m²,2/3,3,Osobna,Nie,Nie,Wtórny,,,Blok,Rama H,1978,19.01.2023,15.05.2023,morizon-59,"Mieszkanie na sprzedaż, 68 m², Warszawa Bemowo Górce | 5010 | Morizon.pl",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-bemowo-lazurowa-68m2-mzn2041505010,,,Tak,,Miejskie,,2,Spółdzielcze-własnościowe z KW,Bardzo dobry,,Tak,,,,,,,,,,,,,,
12,1 998 000 zł,BARDZO WYSOKI STANDARD,"133,20 m²",2/3,3,ODDZIELNA,,,Wtórny,,,APARTAMENTOWIEC,MIESZANY,1999,08.05.2023,12.05.2023,morizon-280/3234/OMS,"Mieszkanie na sprzedaż, 133 m², Warszawa Mokotów Stegny | 8205 | Morizon.pl",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-mokotow-srodziemnomorska-133m2-mzn2042058205,,,Tak,,C.O. Z SIECI MIEJSKIEJ,280 cm,2,WŁASNOŚĆ,,,,,,,,,,,,,,,,,
13,420 000 zł,Dobry,"32,20 m²",Parter/4,4,Widna,,Tak,Wtórny,,,Blok,Cegła,2003,03.04.2023,09.05.2023,morizon-M-106345-16,"Mieszkanie na sprzedaż, 32 m², Warszawa Białołęka | 6948 | Morizon.pl",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-bialoleka-swiatowida-32m2-mzn2041886948,1,,Nie,,,260 cm,1,Własność,,,,"5,82 m²",47 m²,,,,,,,,,,,,
14,305 000 zł,Do częściowego remontu,"14,60 m²",6/6,6,Inny,,Nie,Wtórny,,,Niski blok,,1964,29.03.2023,12.05.2023,morizon-58928/MS/MAX,"Mieszkanie na sprzedaż, 14 m², Warszawa Praga-Południe | 8443 | Morizon.pl",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-praga-poludnie-jerzego-waszyngtona-14m2-mzn2041858443,,,Nie,Na wyłączność,CO miejskie,245 cm,,,Bardzo dobry,,,,,,,,,,,,,,,,
15,1 790 000 zł,,"115,41 m²",1/5,5,Osobna,Tak,Tak,Wtórny,,,Apartamentowiec,Cegła,2010,05.04.2023,02.05.2023,morizon-CE6D0682,"Mieszkanie na sprzedaż, 115 m², Warszawa Mokotów Służewiec | 1961 | Morizon.pl",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-mokotow-obrzezna-115m2-mzn2041891961,1,,Tak,Na wyłączność,Miejskie,280 cm,2,Własność,Bardzo dobry,5 m²,,,,20 m²,,,,,,,,,,,
16,969 000 zł,,"60,70 m²",2/8,8,,,,Wtórny,,,Blok Mieszkalny,Inne,2021,03.04.2023,11.05.2023,morizon-771516,"Mieszkanie na sprzedaż, 60 m², Warszawa Wola | 5604 | Morizon.pl",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-wola-juliana-konstantego-ordona-60m2-mzn2041885604,,,Tak,Na wyłączność,Co Miejskie,,,,,,,,,,,,,,,,,,,,
17,950 000 zł,BARDZO WYSOKI STANDARD,"81,87 m²",Parter/3,3,ANEKS KUCHENNY,,,Wtórny,,,NISKI BLOK,,2008,12.12.2022,28.01.2023,morizon-27059/2517/OMS,"Mieszkanie na sprzedaż, 81 m², Warszawa Białołęka | 7988 | Morizon.pl",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-bialoleka-skarbka-z-gor-81m2-mzn2041387988,,,Tak,Na wyłączność,C.O. GAZOWE,,1,WŁASNOŚĆ,,,,,,,,,,,,,,,,,
18,750 000 zł,Bardzo dobry,"59,67 m²",4/5,5,Aneks kuchenny - połączony z jadalnią,Tak,,Wtórny,,,Blok,żelbeton,2013,24.03.2023,12.05.2023,morizon-WLI-MS-840,"Mieszkanie na sprzedaż, 59 m², Warszawa Bemowo | 4186 | Morizon.pl",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-bemowo-szeligowska-59m2-mzn2041824186,,1,Tak,Na wyłączność,C.O. miejskie,267 cm,1,Współwłasność,,"5,50 m²",,"3,87 m²",,,PCV,900,,,,,,,,,
