	url	title	description	price	District	m2	Data dodania	Na sprzedaż przez	Rodzaj nieruchomości	Liczba pokoi	Liczba łazienek
11	https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/srodmiescie/ekskluzywny-penthouse-na-19-pietrze/10010659358761012115990009	Ekskluzywny Penthouse na 19 piętrze 	<br/><br/><br/><br/><br/><br/><br/><br/><br/><i>Numer oferty w biurze: 26309</i><br/><br/><br/>	2700000.0	Śródmieście	112	06/03/2022	Agencja	Mieszkanie	3 pokoje	
12	https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/wola/okazja-dwu-stronne-dwa-tarasy-2-x-lazienka/10010659388151012115990009	OKAZJA Dwu stronne dwa tarasy 2 x łazienka 	<br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><i>Numer oferty w biurze: 27945</i><br/><br/><br/>	1050000.0	Wola	90	06/03/2022	Agencja	Mieszkanie	4 pokoje	
13	https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/srodmiescie/wysoki-standard-szklany-apartamentowiec/10010659388081012115990009	Wysoki standard szklany apartamentowiec 	<br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><i>Numer oferty w biurze: 28400</i><br/><br/><br/>	1190000.0	Śródmieście	93	06/03/2022	Agencja	Mieszkanie	4 pokoje	
14	https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/srodmiescie/nowe-gotowe-wykonczone-klima-widok-na-centrum/10010659330971012115990009	Nowe GOTOWE WYKOŃCZONE klima widok na centrum 	<br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><i>Numer oferty w biurze: 28549</i><br/><br/><br/>	419000.0	Śródmieście	31	06/03/2022	Agencja	Mieszkanie	2 pokoje	
15	https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/ursynow/lokal-idealny-pod-wynajem-0/10010659358381012115990009	Lokal idealny pod wynajem 0% 	<br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><i>Numer oferty w biurze: 28659</i><br/><br/><br/>	239000.0	Ursynów	18	06/03/2022	Agencja	Mieszkanie	Kawalerka lub garsoniera	
16	https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/ursynow/lokal-idealny-pod-wynajem-0/10010659330691012115990009	Lokal idealny pod wynajem 0% 	<br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><i>Numer oferty w biurze: 28726</i><br/><br/><br/>	414000.0	Ursynów	32	06/03/2022	Agencja	Mieszkanie	2 pokoje	
17	https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/ursynow/lokal-idealny-pod-wynajem-0/10010659361151012115990009	Lokal idealny pod wynajem 0% 	<br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><i>Numer oferty w biurze: 28725</i><br/><br/><br/>	239000.0	Ursynów	18	06/03/2022	Agencja	Mieszkanie	Kawalerka lub garsoniera	
18	https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/wola/kawalerka-w-szklanym-budynku-0-prowizji/10010659368021012115990009	Kawalerka w szklanym budynku 0% prowizji 	<br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><i>Numer oferty w biurze: 28720</i><br/><br/><br/>	285000.0	Wola	19	06/03/2022	Agencja	Mieszkanie	Kawalerka lub garsoniera	
19	https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/wola/mieszkaj-na-swoim-blisko-centrum-metro/10010659330741012115990009	Mieszkaj na SWOIM Blisko Centrum , METRO 	<br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><i>Numer oferty w biurze: 28707</i><br/><br/><br/>	599000.0	Wola	43	06/03/2022	Agencja	Mieszkanie	2 pokoje	
20	https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/wola/apartament-na-grzybowskiej/10010659361211012115990009	Apartament na grzybowskiej 	<br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><i>Numer oferty w biurze: 28706</i><br/><br/><br/>	1216000.0	Wola	62	06/03/2022	Agencja	Mieszkanie	3 pokoje	
